Month,Type,Value,Year,Unit,Month_num
May,Total,54.3,2002,Occupancy rate of rooms,5
May,East,34.7,2002,Occupancy rate of rooms,5
May,Capital region,69.4,2002,Occupancy rate of rooms,5
May,North,30.6,2002,Occupancy rate of rooms,5
May,South,31.6,2002,Occupancy rate of rooms,5
May,"West, Westfjords and Southwest to 2007",45.1,2002,Occupancy rate of rooms,5
May,Total,41.2,2002,Occupancy rate of beds,5
May,East,26.7,2002,Occupancy rate of beds,5
May,Capital region,53.3,2002,Occupancy rate of beds,5
May,North,23.8,2002,Occupancy rate of beds,5
May,South,25.1,2002,Occupancy rate of beds,5
May,"West, Westfjords and Southwest to 2007",31.2,2002,Occupancy rate of beds,5
June,Total,71.1,2002,Occupancy rate of rooms,6
June,East,55.8,2002,Occupancy rate of rooms,6
June,Capital region,84.4,2002,Occupancy rate of rooms,6
June,North,55.7,2002,Occupancy rate of rooms,6
June,South,53.3,2002,Occupancy rate of rooms,6
June,"West, Westfjords and Southwest to 2007",59.2,2002,Occupancy rate of rooms,6
June,Total,54.8,2002,Occupancy rate of beds,6
June,East,42.9,2002,Occupancy rate of beds,6
June,Capital region,64.1,2002,Occupancy rate of beds,6
June,North,48.9,2002,Occupancy rate of beds,6
June,South,40.4,2002,Occupancy rate of beds,6
June,"West, Westfjords and Southwest to 2007",44.7,2002,Occupancy rate of beds,6
July,Total,77.0,2002,Occupancy rate of rooms,7
July,East,80.7,2002,Occupancy rate of rooms,7
July,Capital region,81.8,2002,Occupancy rate of rooms,7
July,North,77.0,2002,Occupancy rate of rooms,7
July,South,65.2,2002,Occupancy rate of rooms,7
July,"West, Westfjords and Southwest to 2007",72.5,2002,Occupancy rate of rooms,7
July,Total,64.4,2002,Occupancy rate of beds,7
July,East,71.9,2002,Occupancy rate of beds,7
July,Capital region,66.8,2002,Occupancy rate of beds,7
July,North,71.7,2002,Occupancy rate of beds,7
July,South,56.2,2002,Occupancy rate of beds,7
July,"West, Westfjords and Southwest to 2007",55.7,2002,Occupancy rate of beds,7
August,Total,76.3,2002,Occupancy rate of rooms,8
August,East,75.6,2002,Occupancy rate of rooms,8
