Country,YearMonth,Passengers,Year,Month_num,Month
U.K.,2004M02,3793.0,2004,2,February
Denmark,2004M02,1483.0,2004,2,February
Finland,2004M02,285.0,2004,2,February
France,2004M02,675.0,2004,2,February
Netherlands,2004M02,522.0,2004,2,February
Italy,2004M02,157.0,2004,2,February
Japan,2004M02,374.0,2004,2,February
Canada,2004M02,95.0,2004,2,February
Norway,2004M02,2174.0,2004,2,February
Spain,2004M02,83.0,2004,2,February
Switzherland,2004M02,71.0,2004,2,February
Sweden,2004M02,1422.0,2004,2,February
Germany,2004M02,715.0,2004,2,February
Other Countries,2004M02,1306.0,2004,2,February
Total Passengers,2004M03,40961.0,2004,3,March
Iceland,2004M03,22219.0,2004,3,March
Foreigners,2004M03,18742.0,2004,3,March
U.S.A.,2004M03,2796.0,2004,3,March
U.K.,2004M03,3551.0,2004,3,March
Denmark,2004M03,1909.0,2004,3,March
Finland,2004M03,452.0,2004,3,March
France,2004M03,814.0,2004,3,March
Netherlands,2004M03,932.0,2004,3,March
Italy,2004M03,188.0,2004,3,March
Japan,2004M03,401.0,2004,3,March
Canada,2004M03,155.0,2004,3,March
Norway,2004M03,2334.0,2004,3,March
Spain,2004M03,74.0,2004,3,March
Switzherland,2004M03,93.0,2004,3,March
Sweden,2004M03,1837.0,2004,3,March
Germany,2004M03,1246.0,2004,3,March
Other Countries,2004M03,1960.0,2004,3,March
Total Passengers,2004M04,55639.0,2004,4,April
Iceland,2004M04,31191.0,2004,4,April
Foreigners,2004M04,24448.0,2004,4,April
U.S.A.,2004M04,2900.0,2004,4,April
U.K.,2004M04,7335.0,2004,4,April
Denmark,2004M04,2413.0,2004,4,April
Finland,2004M04,512.0,2004,4,April
France,2004M04,956.0,2004,4,April
Netherlands,2004M04,569.0,2004,4,April
Italy,2004M04,312.0,2004,4,April
Japan,2004M04,270.0,2004,4,April
Canada,2004M04,130.0,2004,4,April
Norway,2004M04,2339.0,2004,4,April
Spain,2004M04,186.0,2004,4,April
Switzherland,2004M04,119.0,2004,4,April
Sweden,2004M04,2727.0,2004,4,April
Germany,2004M04,1239.0,2004,4,April
Other Countries,2004M04,2441.0,2004,4,April
Total Passengers,2004M05,57186.0,2004,5,May
Iceland,2004M05,31440.0,2004,5,May
Foreigners,2004M05,25746.0,2004,5,May
U.S.A.,2004M05,4127.0,2004,5,May
U.K.,2004M05,3950.0,2004,5,May
Denmark,2004M05,2993.0,2004,5,May
Finland,2004M05,704.0,2004,5,May
France,2004M05,935.0,2004,5,May
Netherlands,2004M05,880.0,2004,5,May
Italy,2004M05,381.0,2004,5,May
Japan,2004M05,329.0,2004,5,May
Canada,2004M05,245.0,2004,5,May
Norway,2004M05,2639.0,2004,5,May
Spain,2004M05,166.0,2004,5,May
Switzherland,2004M05,190.0,2004,5,May
Sweden,2004M05,2588.0,2004,5,May
Germany,2004M05,2099.0,2004,5,May
Other Countries,2004M05,3520.0,2004,5,May
Total Passengers,2004M06,77858.0,2004,6,June
Iceland,2004M06,39694.0,2004,6,June
Foreigners,2004M06,38164.0,2004,6,June
U.S.A.,2004M06,6263.0,2004,6,June
U.K.,2004M06,5812.0,2004,6,June
Denmark,2004M06,3269.0,2004,6,June
Finland,2004M06,1139.0,2004,6,June
France,2004M06,2138.0,2004,6,June
Netherlands,2004M06,1115.0,2004,6,June
Italy,2004M06,751.0,2004,6,June
Japan,2004M06,426.0,2004,6,June
Canada,2004M06,378.0,2004,6,June
Norway,2004M06,2855.0,2004,6,June
Spain,2004M06,438.0,2004,6,June
Switzherland,2004M06,618.0,2004,6,June
Sweden,2004M06,2741.0,2004,6,June
Germany,2004M06,4666.0,2004,6,June
Other Countries,2004M06,5555.0,2004,6,June
Total Passengers,2004M07,100669.0,2004,7,July
Iceland,2004M07,36394.0,2004,7,July
Foreigners,2004M07,64275.0,2004,7,July
U.S.A.,2004M07,7322.0,2004,7,July
U.K.,2004M07,7541.0,2004,7,July
Denmark,2004M07,6395.0,2004,7,July
Finland,2004M07,1195.0,2004,7,July
France,2004M07,5492.0,2004,7,July
Netherlands,2004M07,2185.0,2004,7,July
Italy,2004M07,2292.0,2004,7,July
Japan,2004M07,1224.0,2004,7,July
Canada,2004M07,774.0,2004,7,July
Norway,2004M07,2939.0,2004,7,July
Spain,2004M07,1287.0,2004,7,July
Switzherland,2004M07,3161.0,2004,7,July
Sweden,2004M07,3798.0,2004,7,July
Germany,2004M07,10691.0,2004,7,July
Other Countries,2004M07,7979.0,2004,7,July
Total Passengers,2004M08,97809.0,2004,8,August
Iceland,2004M08,33275.0,2004,8,August
Foreigners,2004M08,64534.0,2004,8,August
U.S.A.,2004M08,7722.0,2004,8,August
U.K.,2004M08,8804.0,2004,8,August
Denmark,2004M08,4068.0,2004,8,August
Finland,2004M08,918.0,2004,8,August
France,2004M08,6429.0,2004,8,August
Netherlands,2004M08,2235.0,2004,8,August
Italy,2004M08,4001.0,2004,8,August
Japan,2004M08,1405.0,2004,8,August
Canada,2004M08,515.0,2004,8,August
Norway,2004M08,2658.0,2004,8,August
Spain,2004M08,2395.0,2004,8,August
Switzherland,2004M08,1965.0,2004,8,August
Sweden,2004M08,3091.0,2004,8,August
Germany,2004M08,10861.0,2004,8,August
Other Countries,2004M08,7467.0,2004,8,August
Total Passengers,2004M09,60955.0,2004,9,September
Iceland,2004M09,30055.0,2004,9,September
